DATE,Bajaj Signal,Eicher Signal,Hero Signal,TVS Signal,Infosys Signal,TCS Signal
5/19/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/20/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/21/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/22/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/25/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/26/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/27/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/28/2015,Buy,Buy,Sell,Sell,Sell,Sell
5/29/2015,Buy,Buy,Sell,Sell,Sell,HOLD
6/1/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/2/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/3/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/4/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/5/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/8/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/9/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/10/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/11/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/12/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/15/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/16/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/17/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/18/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/19/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/22/2015,Buy,Buy,Buy,Sell,Sell,Buy
6/23/2015,Buy,Buy,Buy,HOLD,Sell,Buy
6/24/2015,Buy,Buy,Buy,HOLD,Sell,Buy
6/25/2015,Buy,Buy,Buy,HOLD,Sell,Buy
6/26/2015,Buy,Buy,Buy,HOLD,Sell,Buy
6/29/2015,Buy,Buy,Buy,HOLD,Sell,Buy
6/30/2015,Buy,Buy,Buy,HOLD,Sell,Buy
7/1/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/2/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/3/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/6/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/7/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/8/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/9/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/10/2015,Buy,Buy,Buy,Buy,Sell,Buy
7/13/2015,Buy,Buy,Buy,Buy,Sell,HOLD
7/14/2015,Buy,Buy,Buy,Buy,Sell,HOLD
7/15/2015,Buy,Buy,Buy,Buy,Sell,HOLD
7/16/2015,Buy,Buy,Buy,Buy,Sell,HOLD
7/17/2015,Buy,Buy,Buy,Buy,Sell,HOLD
7/20/2015,Buy,Buy,Buy,Buy,Sell,HOLD
7/21/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/22/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/23/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/24/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/27/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/28/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/29/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/30/2015,Buy,Buy,Buy,Buy,Sell,Sell
7/31/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/3/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/4/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/5/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/6/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/7/2015,Buy,Buy,Buy,Buy,Sell,Sell
8/10/2015,Buy,Buy,Buy,Buy,Sell,Sell
